"A                 [m2]","C                          [k]","Pmês i [mm]","I        [mm]","Q                [L]"
"0.00","0.80","0.00","2.00","0.00"
"0.00","0.80","0.00","2.00","0.00"
"0.00","0.80","0.00","2.00","0.00"
"0.00","0.80","0.00","2.00","0.00"
"0.00","0.80","0.00","2.00","0.00"
"0.00","0.80","0.00","2.00","0.00"
"0.00","0.80","0.00","2.00","0.00"
"0.00","0.80","0.00","2.00","0.00"
"0.00","0.80","0.00","2.00","0.00"
"0.00","0.80","0.00","2.00","0.00"
"0.00","0.80","0.00","2.00","0.00"
"0.00","0.80","0.00","2.00","0.00"
