"MÊS,""SP"",""MG"",""RJ"",""ES"",""SC"",""RS"",""PR"",""AL"",""BH"",""CE"",""MA"",""PB"",""PE"",""PI"",""RN"",""SE"",""AC"",""AM"",""PR"",""PA"",""AP"",""TO"",""MT"",""MS"",""GO"",""DF"""
"1,""240"",""170"",""245"",""40"",""365"",""150"",""370"",""180"",""80"",""150"",""250"",""85"",""165"",""175"",""77"",""20"",""290"",""220"",""0"",""380"",""140"",""380"",""390"",""275"",""210"",""150"""
"2,""110"",""215"",""235"",""300"",""120"",""120"",""95"",""150"",""60"",""215"",""520"",""140"",""115"",""330"",""220"",""78"",""470"",""340"",""0"",""680"",""200"",""350"",""460"",""120"",""385"",""275"""
"3,""220"",""390"",""270"",""175"",""140"",""95"",""330"",""160"",""190"",""25"",""245"",""197"",""116"",""298"",""280"",""185"",""100"",""245"",""40"",""505"",""200"",""190"",""190"",""100"",""155"",""240"""
"4,""30"",""15"",""120"",""370"",""70"",""105"",""25"",""400"",""240"",""190"",""488"",""370"",""480"",""30"",""288"",""150"",""360"",""225"",""180"",""400"",""510"",""250"",""140"",""70"",""225"",""225"""
"5,""20"",""20"",""25"",""200"",""48"",""85"",""30"",""230"",""220"",""220"",""389"",""245"",""223"",""65"",""180"",""125"",""100"",""175"",""350"",""420"",""410"",""5"",""40"",""10"",""20"",""10"""
"6,""20"",""0"",""20"",""145"",""60"",""150"",""0"",""285"",""170"",""50"",""104"",""110"",""140"",""15"",""252"",""215"",""40"",""190"",""370"",""120"",""210"",""0"",""2"",""5"",""0"",""0"""
"7,""25"",""10"",""17"",""20"",""115"",""180"",""0"",""290"",""60"",""98"",""70"",""200"",""9"",""5"",""280"",""110"",""0"",""50"",""410"",""120"",""190"",""0"",""2"",""5"",""0"",""0"""
"8,""50"",""35"",""70"",""90"",""70"",""125"",""50"",""70"",""63"",""22"",""20"",""75"",""105"",""3"",""45"",""32"",""140"",""20"",""105"",""200"",""90"",""5"",""10"",""20"",""25"",""20"""
"9,""75"",""40"",""55"",""35"",""180"",""170"",""60"",""70"",""90"",""7"",""10"",""25"",""60"",""14"",""60"",""20"",""60"",""80"",""280"",""180"",""40"",""20"",""70"",""110"",""35"",""40"""
"10,""120"",""180"",""105"",""180"",""100"",""90"",""225"",""5"",""65"",""8"",""5"",""2"",""25"",""4"",""0"",""35"",""200"",""55"",""40"",""120"",""10"",""200"",""150"",""160"",""225"",""235"""
"11,""105"",""260"",""255"",""145"",""110"",""125"",""20"",""70"",""68"",""5"",""8"",""23"",""30"",""7"",""10"",""30"",""220"",""150"",""50"",""250"",""30"",""405"",""450"",""240"",""180"",""365"""
"12,""190"",""280"",""135"",""170"",""150"",""60"",""120"",""80"",""149"",""120"",""205"",""52"",""70"",""370"",""65"",""20"",""290"",""350"",""10"",""440"",""410"",""240"",""260"",""80"",""180"",""175"""
