ANO,"AL","BH","CE","MA","PB","PE","PI","RN","SE"
Jan-18,"180","80","150","250","85","165","175","77","20"
Feb-18,"150","60","215","520","140","115","330","220","78"
Mar-18,"160","190","25","245","197","116","298","280","185"
Apr-18,"400","240","190","488","370","480","30","288","150"
May-18,"230","220","220","389","245","223","65","180","125"
Jun-18,"285","170","50","104","110","140","15","252","215"
Jul-18,"290","60","98","70","200","9","5","280","110"
Aug-18,"70","63","22","20","75","105","3","45","32"
Sep-18,"70","90","7","10","25","60","14","60","20"
Oct-18,"5","65","8","5","2","25","4","0","35"
Nov-18,"70","68","5","8","23","30","7","10","30"
Dec-18,"80","149","120","205","52","70","370","65","20"
